code,name,first_trade_date,first_vol,publish_price,current_vol,treasury_shares,publish_vol,foreign_owner,foreign_owner_ratio,foreign_vol_remain,current_price,market_capital,category,exchanges
CEO,CTCP Tập đoàn C.E.O,29/09/2014,34311998.0,11.6,257339985.0,0.0,257339985.0,50438637.0,19.59999997668454,32675985.0,15.0,3860.1,bds,HNX
D11,CTCP Địa ốc 11,25/02/2011,2600000.0,67.0,6551965.0,0.0,6551965.0,2140308.0,32.66665801786181,1681748.0,42.7,279.8,bds,HNX
IDJ,CTCP Đầu tư IDJ Việt Nam,13/09/2010,32600000.0,17.2,73512976.0,0.0,73512976.0,15974000.0,21.72949711626421,11739000.0,67.0,4925.4,bds,HNX
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc,01/06/2010,3528500.0,43.0,18351351.0,0.0,18351351.0,5666960.0,30.880342270168555,5507023.0,71.2,1306.6,bds,HNX
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng,21/04/2011,9000000.0,11.4,62311556.0,0.0,62311556.0,20647127.0,33.13530960452986,10520261.0,23.5,1464.3,bds,HNX
PVL,CTCP Đầu tư Nhà Đất Việt,15/04/2010,50000000.0,31.6,50000000.0,0.0,50000000.0,24500000.0,49.0,23831782.0,11.6,580.0,bds,HNX
RCL,CTCP Địa ốc Chợ Lớn,14/06/2007,1500000.0,181.5,12598930.0,0.0,12598930.0,2469457.0,19.600529568780843,1243561.0,17.2,216.7,bds,HNX
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,28/09/2009,10000000.0,80.9,20000000.0,0.0,20000000.0,9800000.0,49.0,9020200.0,11.0,220.0,bds,HNX
SHN,CTCP Đầu tư Tổng hợp Hà Nội,16/12/2009,8702000.0,15.5,129607147.0,0.0,129607147.0,20755596.0,16.014237239555936,19466496.0,17.6,2281.1,bds,HNX
TIG,CTCP Tập đoàn Đầu tư Thăng Long,08/10/2010,15000000.0,28.0,90915304.0,0.0,90915304.0,33320000.0,36.64949522689822,20196910.0,18.7,1700.1,bds,HNX
TKC,CTCP Xây dựng và Kinh doanh Địa ốc Tân Kỷ,01/12/2009,6050000.0,33.6,10082232.0,650000.0,10732232.0,5577293.0,51.96768947969071,5569593.0,11.9,127.7,bds,HNX
APS,CTCP Chứng khoán Châu Á Thái Bình Dương,19/04/2010,26000000.0,14.8,39000000.0,0.0,39000000.0,39000000.0,100.0,31977550.0,43.9,1712.1,ck,HNX
BVS,CTCP Chứng khoán Bảo Việt,18/12/2006,15000000.0,299.5,72213737.0,10100.0,72223837.0,35394629.0,49.00685212833542,20251867.0,39.0,2816.7,ck,HNX
HBS,CTCP Chứng khoán Hòa Bình,16/07/2010,30000000.0,19.7,32999980.0,0.0,32999980.0,16169990.0,48.99999939393903,16164438.0,14.8,488.4,ck,HNX
IVS,CTCP Chứng khoán Đầu tư Việt Nam,01/08/2011,16100000.0,20.0,69350000.0,0.0,69350000.0,7889000.0,11.375630857966836,1336600.0,16.4,1137.3,ck,HNX
MBS,CTCP Chứng khoán MB,28/03/2016,122124280.0,10.0,267618324.0,0.0,267618324.0,59840897.0,22.360537987675315,59811266.0,40.2,10758.3,ck,HNX
PSI,CTCP Chứng khoán Dầu khí,21/07/2010,48500000.0,20.2,59841300.0,0.0,59841300.0,29322237.0,49.0,20363697.0,19.0,1137.0,ck,HNX
SHS,CTCP Chứng khoán Sài Gòn - Hà Nội,25/06/2009,41062996.0,39.6,207268202.0,0.0,207268202.0,49000000.0,23.64086701538522,37774034.0,43.8,9078.3,ck,HNX
VIG,CTCP Chứng khoán Thương mại và Công nghiệp Việt Nam,01/12/2009,15000000.0,22.8,34133300.0,0.0,34133300.0,16725317.0,49.0,12349617.0,10.1,344.7,ck,HNX
WSS,CTCP Chứng khoán Phố Wall,15/12/2009,10800000.0,19.9,50300000.0,0.0,50300000.0,24647000.0,49.0,22951900.0,12.5,628.8,ck,HNX
