Mã CK,Tên Công Ty,Ngày GDĐT,KLNY LầnĐầu,Giá NY,KL ĐangLưuHành,Cổ Phiếu Quỹ,Khối Lượng Niêm yết,NN được sở hữu,Tỷ Lệ NN Được sở Hữu,NN còn được phép mua,Giá HT,Vốn Thị Trường,Nhóm,Sàn Giao Dịch
CMG,CTCP Tập đoàn Công nghệ CMC,22/01/2010,63536267.0,35.0,100158086.0,-79110.0,100078976.0,32997556.0,32.971516415195936,29520713.0,60.5,6054.8,congnghe,HOSE
ELC,CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,13/10/2010,22125000.0,50.5,50928243.0,0.0,50928243.0,22832713.0,44.83310566987359,12754909.0,27.5,1400.5,congnghe,HOSE
FPT,CTCP FPT,13/12/2006,60810230.0,400.0,907551649.0,0.0,907551649.0,225119075.0,24.805097896968288,6.0,98.2,89121.6,congnghe,HOSE
ITD,CTCP Công nghệ Tiên Phong,20/12/2011,11610399.0,12.0,19064798.0,0.0,19064798.0,7509238.0,39.38797568167258,5116464.0,24.2,461.4,congnghe,HOSE
SAM,CTCP SAM HOLDINGS,28/07/2000,18000000.0,16.0,349997190.0,0.0,349997190.0,88315314.0,25.23314944328553,65864578.0,21.9,7664.9,congnghe,HOSE
SGT,CTCP Công nghệ Viễn Thông Sài Gòn,18/01/2008,45000000.0,90.0,74001294.0,310.0,74001604.0,36260937.0,49.00020410368403,26614978.0,30.9,2286.6,congnghe,HOSE
ST8,CTCP Siêu Thanh,18/12/2007,8200000.0,80.0,25598902.0,61000.0,25659902.0,9694919.0,37.78236955074887,0.0,10.8,277.1,congnghe,HOSE
SVT,CTCP Công nghệ Sài Gòn Viễn Đông,05/10/2011,8700000.0,18.0,11579574.0,0.0,11579574.0,5158199.0,44.54567154197555,5158199.0,15.5,179.5,congnghe,HOSE
